source,target
Fallow__Media,dedaluspress
irishpages,dedaluspress
MoLI_Museum,dedaluspress
bullaunpress,dedaluspress
OBrienPress,dedaluspress
kieranmurphy,dedaluspress
EllenBrickley,dedaluspress
karenjmcdonnell,dedaluspress
Nessao,dedaluspress
fingallibraries,dedaluspress
PoetryProgRTE,dedaluspress
MiseCiara,dedaluspress
WaterstonesCrk,dedaluspress
DanMulhall,dedaluspress
lcollins232,dedaluspress
MEASorg,dedaluspress
LightlyWords,dedaluspress
sophiegrenham,dedaluspress
lorraineelizab6,dedaluspress
NiChurr,dedaluspress
UCDLibrary,dedaluspress
IrigarayJulie,dedaluspress
Larblanuna,dedaluspress
NualaNiC,dedaluspress
Irish1nterest,dedaluspress
noteablearts,dedaluspress
ursulabyrne5,dedaluspress
cristinleach,dedaluspress
CherrySmyth,dedaluspress
claire_ms_p,dedaluspress
AnneTannam,dedaluspress
mariaebelle,dedaluspress
Hodges_Figgis,dedaluspress
SineadGrif,dedaluspress
dogwithoutlegs,dedaluspress
SkeinPress,DeeBarragry
ILFDublin,DeeBTweets
OBrienPress,DeeBTweets
OrlaMcAWrites,DeeCee334
MunLitCentre,DeeCollins0
bansheelit,DeeCollins0
bansheelit,Deedee_Daly
OverTheEdgeOpen,Deedee_Daly
SkeinPress,Deedee_Daly
bansheelit,deedotpower
OBrienPress,DeeMcQuillan
DublinBookFest,DeenieR
WritersWeek,DeepakChopra
DeepMapsCork,DeepMapsCork
Doirepress,deepwildjournal
IrishWritersCtr,deeroycroft
OBrienPress,deezoid
MunLitCentre,DEFAULTpoetry
TheGalleryPress,DEFAULTpoetry
OBheal,DEFAULTpoetry
dubreviewbooks,Defencebrief
poetryireland,defenceforces
Doirepress,defenceforces
MichaelJWhelan1,defenceforces
LightlyWords,defenceforces
DanMulhall,defenceforces
dedaluspress,deForgeMichelle
OverTheEdgeOpen,DegsyHatton
MoLI_Museum,deirdo
DublinBookFest,deirdre_88
stingingfly,deirdre_flynn
IrishWritersCtr,deirdre_flynn
WinterPapers,deirdre_flynn
NewIslandBooks,deirdre_flynn
SkeinPress,deirdre_flynn
OBrienPress,deirdre_ogrady
WritersWeek,DeirdreBeecher
stingingfly,deirdreblack
stingingfly,deirdrebreen
SkeinPress,deirdrebreen
IrishWritersCtr,deirdrecartmill
OverTheEdgeOpen,deirdrecartmill
SkeinPress,deirdrecartmill
PublishingIRL,DeirdreCluneMEP
IrishWritersCtr,DeirdreConroyIE
WritersWeek,DeirdreConroyIE
WinterPapers,DeirdreConroyIE
Doirepress,DeirdreConroyIE
LilliputPress,DeirdreConroyIE
SkeinPress,DeirdreCronin3
WinterPapers,DeirdreDwy
dedaluspress,DeirdreFalveyIT
poetryireland,DeirdreFalveyIT
CuirtFestival,DeirdreFalveyIT
MoLI_Museum,DeirdreFalveyIT
NewIslandBooks,DeirdreFalveyIT
LilliputPress,DeirdreFalveyIT
Doirepress,DeirdreFalveyIT
MercierBooks,DeirdreFalveyIT
wordsofhelen,DeirdreFalveyIT
DublinBookFest,DeirdreFlannery
MoLI_Museum,DeirdreGiblin1
IrishWritersCtr,deirdrekinahan
NewIslandBooks,deirdrekinahan
donnieodd,deirdrekinahan
OverTheEdgeOpen,DeirdreMcClay
Doirepress,DeirdreMcClay
fishpublishing,DeirdreMcClay
dalkeybookfest,DeirdreMcClosk
SkeinPress,DeirdreMortell
WritersWeek,DeirdreMullins
ILFDublin,DeirdreMullins
Doirepress,deirdreobyrne
FiveLeavesBooks,deirdreobyrne
dalkeybookfest,DeirdreOKane1
AnneTannam,DeirdreOKane1
SkeinPress,DeirdreONeill10
NewIslandBooks,DeirdrePurcell
DublinBookFest,DeirdreRaftery
SkeinPress,DeirdreRoberts1
SkeinPress,DeirdreRobertsB
LilliputPress,DeirdreRobertsB
WritersWeek,DeirdreWalsh1
keane_house,DeisePoet
DanMulhall,deisevu
Tapepusher,dejamjar
IrishWritersCtr,dejonglisam
bansheelit,dejonglisam
IrishWritersCtr,delexical
OverTheEdgeOpen,delexical
WritersWeek,DeliaOnline
OBrienPress,deliciousmag
MoLI_Museum,delightedmary
poetryireland,DELISUZ1
OverTheEdgeOpen,deliteraryevent
IrishWritersCtr,DElliottPrize
stingingfly,DElliottPrize
NewIslandBooks,DElliottPrize
PublishingIRL,DElliottPrize
CuirtFestival,DElliottPrize
dalkeybookfest,DElliottPrize
Irish1nterest,DElliottPrize
CuirtFestival,delorentos
ILFDublin,delorentos
DelphBks,DelphBks
dedaluspress,DemCafeNetwork
stingingfly,DemiAnter
poetryireland,DemiAnter
OverTheEdgeOpen,DemiAnter
bansheelit,DemiAnter
dalkeybookfest,DemsIRL
Fallow__Media,dendoharvey
IrishWritersCtr,Deng_Red
dedaluspress,denicefrohman
WinterPapers,denis_cotter
OBrienPress,denise_denise
SkeinPress,Denise_Rawls
CuirtFestival,DeniseChaila
ILFDublin,DeniseChaila
WinterPapers,DeniseChaila
MoLI_Museum,denisedalfar
HillenSean,Deniseh20
IrishWritersCtr,DeniseHolden
salmonpoetry,DeniseMcGBlake
poetryireland,DeniseMcGBlake
dedaluspress,DeniseMcGBlake
OverTheEdgeOpen,DeniseMcGBlake
Doirepress,DeniseMcGBlake
MargoGorman,DeniseMcGBlake
DublinBookFest,DeniseMina
WinterPapers,deniseodonoghue
SkeinPress,deniseodonoghue
OverTheEdgeOpen,DeniseOFlanagan
IrishWritersCtr,denisirl
IrishWritersCtr,Denisjryan
UlsterMyUlster,denisstewart
WritersWeek,DenMull12
IrishWritersCtr,dennis_lehane
WritersWeek,dennis_lehane
fhayesmccoy,Dennison_Design
ILFDublin,denny_lawlor
NewIslandBooks,denofgeek
Lit_Ireland,DentalSchoolTcd
IrishWritersCtr,denton_danny
stingingfly,denton_danny
MunLitCentre,denton_danny
WritersWeek,denton_danny
Doirepress,denton_danny
bansheelit,denton_danny
TheDublinReview,denton_danny
MoLI_Museum,denton_danny
Fallow__Media,denton_danny
NewIslandBooks,denton_danny
WinterPapers,denton_danny
SkeinPress,denton_danny
dalkeybookfest,denton_danny
CuirtFestival,denton_danny
MercierBooks,denton_danny
WaterstonesCrk,denton_danny
OverTheEdgeOpen,Denver_Writers
OBheal,denzelpoetry
IrishWritersCtr,Depaorpress
MoLI_Museum,Department_ASNC
bansheelit,Dept_Transport
poetryireland,DeptCulturelRL
dedaluspress,DeptCulturelRL
Lit_Ireland,DeptCulturelRL
salmonpoetry,DeptCulturelRL
IrishWritersCtr,DeptCulturelRL
MoLI_Museum,DeptCulturelRL
SkeinPress,DeptCulturelRL
dalkeybookfest,DeptCulturelRL
CuirtFestival,DeptCulturelRL
hargadog,DeptCulturelRL
DingleLit,DeptCulturelRL
ShevaunWilder,DeptCulturelRL
dalkeybookfest,deptirl
SkeinPress,DeptJusticeIRL
Lit_Ireland,DeptofFHed
NewIslandBooks,DeptofFHed
NewIslandBooks,DeptRCD
Doirepress,DeputyVizsla
IrishWritersCtr,derd28
OBrienPress,derdeepspace
OBrienPress,derekcreagh
margaretbmadden,DerekFlynn03
dubreviewbooks,DerekinBerlin
DrPatridge,DerekinBerlin
WritersWeek,DerekLandy
poetryireland,DerekLandy
dalkeybookfest,DerekLandy
ILFDublin,DerekLandy
OBrienPress,DerekLandy
Nehruu,DerekMahom
OverTheEdgeOpen,DerekMNolan
OverTheEdgeOpen,derekrootboy
OBrienPress,derekryanmusic
OBheal,DerekSellen
IrishWritersCtr,DergianO
ImagineBelfast,derichenderson
BlackstaffNI,derichenderson
poetryireland,dermKennedy
dalkeybookfest,Dermo09
LilliputPress,DermotBannon
OBrienPress,DermotBannon
dalkeybookfest,DermotBannon
dalkeybookfest,dermotcasey
IrishWritersCtr,dermotdavis1
NewIslandBooks,DermotKeyes
OBrienPress,DermotKeyes
IrishWritersCtr,dermotmagee
poetryireland,dermotmcl1
IrishWritersCtr,dermotmcl1
WritersWeek,dermotmcl1
AtticSessionsTV,dermotmcl1
DublinBookFest,dermotmulhall
OBrienPress,DermotTodayFM
WritersWeek,Derry_Girls
dubreviewbooks,derry2013
NewIslandBooks,DerryHalloween
stingingfly,derryjournal
OBrienPress,derryjournal
dubreviewbooks,derryjournal
NewIslandBooks,derryjournal
LilliputPress,derryjournal
johnplovett,derryjournal
OBrienPress,DerryNow
OBrienPress,derrypost
OBrienPress,DerrySketcher
NewIslandBooks,DerryVibe
poetryireland,Derryvisitor
IrishWritersCtr,derrywriters
DublinBookFest,derville_white
PatriciaDublin,DervilleMurphy
AnnetteSills,DervilleMurphy
PoolbegBooks,DervilleMurphy
MunLitCentre,DervishBooks
DublinBookFest,DervSwerve
OBrienPress,DeryckV
WritersWeek,DerynRJ
MunLitCentre,DerynRJ
stingingfly,Des_The_Dog
TrampPress,Des_The_Dog
WritersWeek,Desbishop
dubreviewbooks,Desbishop
dalkeybookfest,Desbishop
poetryireland,desfitzgerald
WritersWeek,deshocks
TrampPress,deshocks
Doirepress,deshocks
MoLI_Museum,deshocks
JBreen64,deshocks
SkeinPress,DesignOpp
poetryireland,desmond_kenny
SkeinPress,desmond_kenny
NewIslandBooks,Desmond_McG
OverTheEdgeOpen,desmondotoole
WritersWeek,Desmonds_GAA
MoLI_Museum,DesOpProduction
dalkeybookfest,dessie_martin
WritersWeek,destaic
dubreviewbooks,destaic
DublinBookFest,DestinationC16
NewIslandBooks,destinylover09
OBrienPress,destinylover09
poetryireland,deuxiemepeau
dedaluspress,deuxiemepeau
salmonpoetry,deuxiemepeau
stingingfly,deuxiemepeau
Doirepress,deuxiemepeau
MatthewMCSmith,deuxiemepeau
PoetOrganic,deuxiemepeau
the4facedliar,deuxiemepeau
lucy_holme,deuxiemepeau
stingingfly,DevaneEmily
WinterPapers,DevaneEmily
CuirtFestival,DevaneEmily
poetryireland,devedireland
dedaluspress,devedireland
dalkeybookfest,DeVillesDalkey
stingingfly,DevlinMartina
WritersWeek,DevlinMartina
IrishWritersCtr,DevlinMartina
LilliputPress,DevlinMartina
MoLI_Museum,DevlinMartina
dalkeybookfest,DevlinMartina
NewIslandBooks,DevlinMartina
DublinBookFest,DevlinMartina
OverTheEdgeOpen,DevlinMartina
SkeinPress,DevlinMartina
bansheelit,DevlinMartina
CuirtFestival,DevlinMartina
ILFDublin,DevlinMartina
dubreviewbooks,DevlinMartina
bullaunpress,DevlinMartina
OBrienPress,DevlinMartina
EmmanuelTouhey,DevlinMartina
PoolbegBooks,DevlinMartina
dlartgallery,DevlinMartina
IrishWriterNews,DevlinMartina
NewIslandBooks,devlinstephen1
poetryireland,DeVosInstitute
dedaluspress,devperspectives
dalkeybookfest,devsounds
MunLitCentre,dewali_de
stingingfly,DexysOfficial
WritersWeek,DexysOfficial
Doirepress,DF_COS
dalkeybookfest,DFalc
Doirepress,dfarchives
dubreviewbooks,dfarrell_ucd
Lit_Ireland,dfatirl
poetryireland,dfatirl
dedaluspress,dfatirl
MoLI_Museum,dfatirl
ILFDublin,dfatirl
dalkeybookfest,dfatirl
NewIslandBooks,dfatirl
irishpages,dfatirl
SkeinPress,dfatirl
LilliputPress,dfatirl
DublinBookFest,dfatirl
OverTheEdgeOpen,dfatirl
bansheelit,dfatirl
DanMulhall,dfatirl
CManahanIRL,dfatirl
AmbJackieOH,dfatirl
PeterMoneyhere,dfatirl
fmod1,dfatirl
RIAdawson,dfatirl
impressions_ie,dfatirl
BioBagIRELANDUK,dfatirl
kevinthehague,dfatirl
UCDLibrary,dfatirl
KellyOCLondon,dfatirl
ILFDublin,DFB_storyhouse
margaretbmadden,DFB_storyhouse
WinterPapers,dfeehely
poetryireland,dfl_post
WritersWeek,dfl_post
Doirepress,DFPRB
IrishWritersCtr,Dfriedmanwriter
stingingfly,dgdoyle84
OBrienPress,dgldemocrat
stingingfly,dglee42
MunLitCentre,dglee42
OBrienPress,dglwoman
MargoGorman,dglwoman
IrishWritersCtr,DGunn
fishpublishing,DH_Lawrence
WritersWeek,DHalpin9
poetryireland,dhand67
LilliputPress,dhand67
DCUSchoolofEng,dhand67
IrishStudiesUCC,dhand67
LilliputPress,DHG_Dublin
Doirepress,DHG_Dublin
MoLI_Museum,DHG_Dublin
NewIslandBooks,DHufbauer
dalkeybookfest,DiageoIreland
SkeinPress,DIALOGIST
TrampPress,dialoguebooks
NewIslandBooks,dialoguebooks
ILFDublin,dialoguebooks
stingingfly,dianabamimeke
dalkeybookfest,DianaHenryFood
MoLI_Museum,DianaHenryFood
TheGalleryPress,DianaJSpencer
dalkeybookfest,dianecookbot
kevinansbro,dianefjeffrey
poetryireland,dianemulholland
SkeinPress,DianeSetterfie1
NewIslandBooks,DianneAscroft
Doirepress,diarmo1990
OBheal,diarmo1990
stingingfly,DiarmoDuff
OverTheEdgeOpen,DiarmoDuff
dalkeybookfest,Diarmuid_Gavin
NewIslandBooks,DiarmuidAuthor
WritersWeek,DiarmuidDesigns
NewIslandBooks,diarmuiddoyle
DublinBookFest,diarmuidhanifin
poetryireland,DIAS_Dublin
poetryireland,DIASDunsink
Lit_Ireland,DIB_RIA
dubreviewbooks,DIB_RIA
RCPIArchive,DIB_RIA
ILFDublin,DibaIreland
IrishWritersCtr,dicconb
TheGalleryPress,dick_edelstein
poetryireland,dickinsonpoet
janetsomerville,dickinsonpoet
RDFallis,DickKingSmith
WritersWeek,DickLeFenwick
SkeinPress,Diego_Fasciati
salmonpoetry,DieHoren
DrPatridge,diemauerthewall
WritersWeek,Difontaines
OverTheEdgeOpen,digbeth
Doirepress,DiggingPress
fingallibraries,DigitalFingal
DigitalIGC,DigitalIGC
WritersWeek,DILListowel
poetryireland,DillonsHotel
Doirepress,DillonsHotel
IrishWritersCtr,DilW
LilliputPress,DilW
NewIslandBooks,DilW
DublinBookFest,DilW
PublishingIRL,dimbleby_jd
stingingfly,dimitraxidous
IrishWritersCtr,dimitraxidous
Doirepress,dimitraxidous
DublinBookFest,dimitraxidous
OverTheEdgeOpen,dimitraxidous
CuirtFestival,dimitraxidous
WritersWeek,dinawmengestu
ILFDublin,dineensparish
Fallow__Media,dineensparish
LilliputPress,DingleBookshop
SkeinPress,DingleBookshop
NewIslandBooks,DingleBookshop
CuirtFestival,DingleBookshop
OBrienPress,DingleBookshop
Doirepress,DingleBookshop
dinglepublish,DingleBookshop
PoolbegBooks,DingleBookshop
WritersWeek,DingleFilm
WritersWeek,dinglefoodfest
poetryireland,DingleLit
MunLitCentre,DingleLit
IrishWritersCtr,DingleLit
LilliputPress,DingleLit
SkeinPress,DingleLit
dalkeybookfest,DingleLit
NewIslandBooks,DingleLit
TrampPress,DingleLit
Doirepress,DingleLit
DublinBookFest,DingleLit
PublishingIRL,DingleLit
dinglepublish,DingleLit
declanorourke,DingleLit
WritersWeek,dinglenews
fhayesmccoy,DinglePeninsula
MunLitCentre,dinglepublish
LilliputPress,dinglepublish
WritersWeek,DingleWhiskey
CuirtFestival,dino_mahoney
ILFDublin,dinosaurmamma
Lit_Ireland,diogenesverlag
SkeinPress,dionfanning
ILFDublin,dionnesband
MoLI_Museum,Diplah
OBrienPress,Diplocat
poetryireland,DIPoetryCritics
IrishWritersCtr,DIPoetryCritics
dedaluspress,DIPoetryCritics
SkeinPress,DIPoetryCritics
CuirtFestival,DIPoetryCritics
ILFDublin,Discover_Story
isaireland,discoverbally
TheGalleryPress,DiscoverBoyneV
OverTheEdgeOpen,DiscoverGalway
CuirtFestival,DiscoverGalway
poetryireland,DiscoverIreland
ILFDublin,DiscoverIreland
MoLI_Museum,DiscoverIreland
DublinBookFest,DiscoverIreland
OBrienPress,DiscoverIreland
IrelandEmbGB,DiscoverIreland
RedhillsAnnie,DiscoverIreland
CountyLDerry,DiscoverIreland
riccardomiche,DiscoverIreland
poetryireland,discoverirl
WritersWeek,discoverirl
DublinBookFest,discoverirl
AtitAgainDublin,discoverirl
poetryireland,DiscoverNI
dedaluspress,DiscoverNI
OBrienPress,DiscoverNI
RedhillsAnnie,DiscoverNI
isaireland,DiscoverSligo
dalkeybookfest,discoveryplus
poetryireland,discovwaterford
poetryireland,dislaney
OBrienPress,Disney
MARIELinBOSTON,DisparatePost
SkeinPress,DiSpeirs
TrampPress,DiSpeirs
MoLI_Museum,dissectpodcast
WritersWeek,distracteddan
ILFDublin,districtmag
PowerWayne,districtmag
LilliputPress,DistrictPr
MoLI_Museum,DivaVocesChoir
OverTheEdgeOpen,DivaWriters
TrampPress,DiveCreep
poetryireland,Diverseman2020
SkeinPress,DiversityWithin
DublinBookFest,divilthebit
stingingfly,divineordinary
poetryireland,divinewordns
dedaluspress,divingforperils
NewIslandBooks,dixiechicks
dedaluspress,DixonReuel
IrishWritersCtr,DixonReuel
SkeinPress,DixonReuel
LilliputPress,diylan
stingingfly,dizzdizzdizz
SkeinPress,dizzdizzdizz
WritersWeek,dj_breathnach
WinterPapers,DJCOOLC72
stingingfly,djdaisyjohnson
SkeinPress,djdaisyjohnson
OverTheEdgeOpen,DJiagge
OBrienPress,djjennygreene
bansheelit,djjennygreene
CuirtFestival,djjennygreene
dalkeybookfest,djmarkkavanagh
OBrienPress,DJMcCarney
ILFDublin,DJTerrazzini
OBrienPress,dkbooks
LilliputPress,dkellyj
NewIslandBooks,dkennytcd
poetryireland,DkITLibrary
margaretbmadden,DkITLibrary
IrishWritersCtr,dlandy100
dedaluspress,DLGowlandWrites
EvKitCat,dlloyd117
OverTheEdgeOpen,dlooney
dedaluspress,DLR_Libraries
stingingfly,DLR_Libraries
WritersWeek,DLR_Libraries
TheGalleryPress,DLR_Libraries
poetryireland,DLR_Libraries
Lit_Ireland,DLR_Libraries
IrishWritersCtr,DLR_Libraries
MunLitCentre,DLR_Libraries
NewIslandBooks,DLR_Libraries
OBrienPress,DLR_Libraries
DublinBookFest,DLR_Libraries
PublishingIRL,DLR_Libraries
bansheelit,DLR_Libraries
Doirepress,DLR_Libraries
dalkeybookfest,DLR_Libraries
ILFDublin,DLR_Libraries
MoLI_Museum,DLR_Libraries
PoetryProgRTE,DLR_Libraries
CroweSerrano,DLR_Libraries
dalkeybookfest,dlr_pop
NewIslandBooks,dlr_pop
poetryireland,dlrArts
IrishWritersCtr,dlrArts
dedaluspress,dlrArts
bansheelit,dlrArts
NewIslandBooks,dlrArts
MoLI_Museum,dlrArts
clairerockfinch,dlrArts
CroweSerrano,dlrArts
poetryireland,dlrcc
IrishWritersCtr,dlrcc
stingingfly,dlrcc
dalkeybookfest,dlrcc
MoLI_Museum,dlrcc
bansheelit,dlrcc
PublishingIRL,dlrcc
NewIslandBooks,dlrcc
poetryireland,dlrcommunity
bansheelit,dlrcommunity
NewIslandBooks,dlregatta
NewIslandBooks,dlrevents
dlartgallery,dlrevents
dalkeybookfest,dlrheritevents
NewIslandBooks,dlrheritevents
poetryireland,dlrLexIcon
stingingfly,dlrLexIcon
dedaluspress,dlrLexIcon
WritersWeek,dlrLexIcon
TheGalleryPress,dlrLexIcon
NewIslandBooks,dlrLexIcon
bansheelit,dlrLexIcon
dalkeybookfest,dlrLexIcon
OBrienPress,dlrLexIcon
LilliputPress,dlrLexIcon
ILFDublin,dlrLexIcon
DublinBookFest,dlrLexIcon
clairerockfinch,dlrLexIcon
CroweSerrano,dlrLexIcon
poetryireland,dlrlocalnews
bansheelit,dlrlocalnews
dalkeybookfest,dlrlocalnews
dalkeybookfest,DLRTourism
dlartgallery,DLRTourism
OBrienPress,DLynchSport
Lit_Ireland,dmacostello
VampireSorcha,dmacostello
MunLitCentre,Dmacviban
TrampPress,dmajor7ths
OBrienPress,DMan1504
poetryireland,dmansfield
OBheal,DMheadhra
ILFDublin,DMHedlund
bansheelit,DMOCONNORWRITES
poetryireland,dmstuder
clmorris757,dmuleicester
MoLI_Museum,DMulrooney
clmorris757,DMUSpecialColls
OBrienPress,DMVFArchitects
OBheal,dmytrolazutkin
stingingfly,dnldwrds
OverTheEdgeOpen,dnlibraries
dedaluspress,DNLitFest
LilliputPress,DNLitFest
Doirepress,DNLitFest
irishpages,Doallas
OverTheEdgeOpen,dock1
WaterstonesCrk,docklandcork
OverTheEdgeOpen,dockno1
CuirtFestival,dockno1
NewIslandBooks,DoconoNe
orrickle,docrocktex26
ILFDublin,doctorjr
dedaluspress,DoctorKokomojo
Doirepress,DoctorKokomojo
dubreviewbooks,DoctorSyntax
OverTheEdgeOpen,DodgePoetryFest
poetryireland,dodgingtherain
OverTheEdgeOpen,dodgingtherain
SkeinPress,DodoInk
MoLI_Museum,dodublintours
OBrienPress,dodublintours
dubreviewbooks,dogs
TrampPress,dogsectionpress
TrampPress,DogsTrust_IE
OBrienPress,DogsTrust_IE
dedaluspress,dogwithoutlegs
poetryireland,dogwithoutlegs
IrishWritersCtr,dogwithoutlegs
Doirepress,dogwithoutlegs
SkeinPress,dogwithoutlegs
CuirtFestival,dogwithoutlegs
bansheelit,dogwithoutlegs
NewIslandBooks,dogwithoutlegs
DublinBookFest,dogwithoutlegs
ILFDublin,dogwithoutlegs
stingingfly,doherty_william
stingingfly,Doire
Doirepress,Doire
Joemarauthor,doireann
ILFDublin,DoireannCoady
poetryireland,DoireannGarrihy
OBrienPress,DoireannGarrihy
dedaluspress,DoireannNiB
IrishWritersCtr,DoireannNiB
ILFDublin,DoireannNiB
clairerockfinch,DoireannNiB
MiseCiara,doireannnighlac
poetryireland,DoireEadan
MunLitCentre,Doirepress
TheGalleryPress,Doirepress
dedaluspress,Doirepress
stingingfly,Doirepress
IrishWritersCtr,Doirepress
poetryireland,Doirepress
salmonpoetry,Doirepress
WritersWeek,Doirepress
OBheal,Doirepress
CuirtFestival,Doirepress
TrampPress,Doirepress
SkeinPress,Doirepress
OverTheEdgeOpen,Doirepress
Doirepress,Doirepress
LilliputPress,Doirepress
DublinBookFest,Doirepress
NewIslandBooks,Doirepress
PublishingIRL,Doirepress
OBrienPress,Doirepress
MichaelJWhelan1,Doirepress
RepublicofCons1,Doirepress
NatashaRemound1,Doirepress
holdingcellirl,Doirepress
blackboughpoems,Doirepress
MEASorg,Doirepress
LightlyWords,Doirepress
AnneTannam,Doirepress
NiChurr,Doirepress
PoetryProgRTE,Doirepress
gagebybell,Doirepress
ShaunaGilligan1,Doirepress
Irish1nterest,Doirepress
margaretbmadden,Doirepress
WaterstonesCrk,Doirepress
Aosdana,Doirepress
midaspr,Doirepress
Cathy_A_J,Doirepress
GraMurphy,Doirepress
lcollins232,Doirepress
FiveLeavesBooks,Doirepress
SJSwords,Doirepress
ursulabyrne5,Doirepress
soma_psyche,Doirepress
CuirtFestival,DolanEdward
salmonpoetry,dolly_parton
WritersWeek,DollyParton
ILFDublin,DollyParton
CuirtFestival,DollyParton
OverTheEdgeOpen,dollypoet
WritersWeek,dollyslibrary
ILFDublin,domdelaking
margaretbmadden,Domhnall1982
LilliputPress,DominicWest
DublinBookFest,DominiKemp
dalkeybookfest,DominiKemp
MoLI_Museum,DominiKemp
WritersWeek,domnickeyefocus
ILFDublin,Don_Rongavilla
TheGalleryPress,Don_Share
poetryireland,Don_Share
MunLitCentre,Don_Share
stingingfly,Don_Share
dubreviewbooks,Don_Share
OverTheEdgeOpen,Don_Share
irishpages,Don_Share
LightlyWords,Don_Share
LouiseSCurran,Don_Share
CelizMurray,Don_Share
DublinBookFest,DonagheyDave
Doirepress,Donal_OKeeffe
OverTheEdgeOpen,Donal_OKeeffe
SkeinPress,Donal_OKeeffe
Doirepress,Donald_Teskey
OBrienPress,Donald_Teskey
stingingfly,DonaldClarke63
Lit_Ireland,DonaldClarke63
WritersWeek,DonaldClarke63
ILFDublin,DonaldClarke63
dubreviewbooks,DonaldClarke63
OverTheEdgeOpen,DonaldClarke63
DublinBookFest,DonaldClarke63
LilliputPress,DonaldClarke63
MoLI_Museum,DonaldClarke63
stingingfly,donaldin
MoLI_Museum,DonaldMurray56
salmonpoetry,DonaldsonMoyra
poetryireland,DonaldsonMoyra
WritersWeek,DonaldsonMoyra
dedaluspress,DonaldsonMoyra
Doirepress,DonaldsonMoyra
SkeinPress,DonaldsonMoyra
CuirtFestival,DonaldsonMoyra
OBheal,DonaldsonMoyra
ChiaraLiberio,DonaldsonMoyra
holdingcellirl,DonaldsonMoyra
FiredIrishPoets,DonaldsonMoyra
CuirtFestival,donalfall
NewIslandBooks,DonalFallon
OBrienPress,DonalFallon
MoLI_Museum,DonalGallery
DublinBookFest,donalkearney
WinterPapers,DonalMcninch
dubreviewbooks,donalmulligan
OBrienPress,DonalODea
DublinBookFest,donaloflynn
Doirepress,donalohanlon
SkeinPress,DonalOKelly
WritersWeek,DonalSkehan
DublinBookFest,DonalSkehan
NewIslandBooks,DonalSkehan
OBrienPress,DonalSkehan
ILFDublin,DonalSkehan
DanMulhall,donalthedub
NewIslandBooks,DonalTLynch
poetryireland,dondagz
salmonpoetry,dondagz
MoLI_Museum,dondagz
DublinBookFest,dondagz
NewIslandBooks,dondagz
ILFDublin,DonDavern
NewIslandBooks,DonDavern
dalkeybookfest,DonDavern
TheGalleryPress,Donegal_News
IrishWritersCtr,Donegalabu
poetryireland,DonegalArts
TheGalleryPress,DonegalCoArchiv
MoLI_Museum,DonegalCoArchiv
TheGalleryPress,donegalcouncil
poetryireland,donegalcouncil
NewIslandBooks,donegalcouncil
OBrienPress,donegalcouncil
dedaluspress,DonegalDaily
isaireland,donegaldiaspora
OBrienPress,DonegalFood
OBrienPress,DonegalLEO
TheGalleryPress,DonegalLibrary
poetryireland,DonegalLibrary
NewIslandBooks,DonegalLibrary
DublinBookFest,DonegalNoel
OBrienPress,DonegalNoel
CuirtFestival,DonegalNoel
OBrienPress,donegalpage
bowensociety,doneraileopw
WritersWeek,donie
1dor,donie
OBheal,DonlonRoss
TheGalleryPress,DonmarWarehouse
dedaluspress,DonMeeChoi
SkeinPress,Donna__McLean
ILFDublin,donna_cooney1
PublishingIRL,DonnachaDCU
ILFDublin,DonnaCullen85
nphegarty,DonnaDent1
dalkeybookfest,DonnaIRL
IrishWritersCtr,Donnan_S
BellCaragh,DONNAOMUSIC1
dubreviewbooks,DonnchaDublin
DublinBookFest,DonnchaLaw
LilliputPress,DonnchaLaw
WritersWeek,donnellypa
DublinBookFest,donnellypa
ILFDublin,donnellypa
OBrienPress,donnmcclean
SkeinPress,donnmcclean
Lit_Ireland,DonnybrookD4
SkeinPress,donnyexile
stingingfly,donnymahoney
OBrienPress,donnymahoney
NewIslandBooks,DonohoeSiobhan
OBrienPress,donohuefe
ILFDublin,donohuefe
OBrienPress,DonoreNS
poetryireland,donpatersonpoet
NewIslandBooks,donsdublin
WritersWeek,dontknowmuchnow
poetryireland,DonVanDolt
IrishWritersCtr,DoodleKennelly
Doirepress,DoodleKennelly
WFUPress,DoodleKennelly
Doirepress,Doolinhotel
fhayesmccoy,DoorleyCiara
CaitNiDhonnchu,doorstopfever
poetryireland,doradaisy
WritersWeek,DoransListowel
WritersWeek,DorasIRL
MoLI_Museum,dorcey10m20
OBheal,dorcey10m20
ILFDublin,dorcey10m20
IrishWritersCtr,doreen_duffy13
WritersWeek,doreen2cv
NewIslandBooks,doreen2cv
Doirepress,doreen2cv
LilliputPress,doreen2cv
sophiegrenham,doreen2cv
PatriciaDublin,doreen2cv
WritersWeek,dorehammondfilm
bansheelit,dori_dickinson
Fallow__Media,Dorianlynskey
ILFDublin,Dorianlynskey
ILFDublin,DoritRabinyan
IrishWritersCtr,DormanArchs
dedaluspress,DormanArchs
AdrianBradMusic,dorner_martina
SkeinPress,DorothyKoomson
OverTheEdgeOpen,dorseifer
MoLI_Museum,DortheNors
TheDublinReview,DotMDConf
bansheelit,DotMDConf
Doirepress,DotMDConf
dalkeybookfest,Doubleday
stingingfly,doubledaybooks
DublinBookFest,doubledaybooks
dubreviewbooks,doubledaybooks
Doirepress,doubledaybooks
OverTheEdgeOpen,doubledaybooks
CuirtFestival,doubledaybooks
dalkeybookfest,doubledaybooks
SkeinPress,doubledaybooks
